------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      7  |      1.0176  |     0.9385  |   0.9066  |               |              2.8778  |
|          |      8  |      0.9712  |     0.9561  |   0.9235  |               |              3.2248  |
|          |      9  |      0.9507  |     0.9746  |   0.9315  |               |              3.5441  |
|          |   eval  |      0.9507  |     0.9746  |   0.9315  |       0.9395  |              3.6933  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4277  |     0.7168  |   0.6971  |               |              0.3851  |
|          |      1  |      1.2393  |     0.8193  |   0.7716  |               |              0.7634  |
|          |      2  |      1.2148  |     0.8262  |   0.8053  |               |              1.1409  |
|          |      3  |      1.1592  |     0.8525  |   0.7716  |               |              1.4886  |
|          |      4  |      1.1191  |     0.8760  |   0.8485  |               |              1.8358  |
|          |      5  |      1.0986  |     0.8945  |   0.8588  |               |              2.1832  |
|          |      6  |      1.0527  |     0.9062  |   0.8926  |               |              2.5303  |
|          |      7  |      1.0127  |     0.9365  |   0.8996  |               |              2.8776  |
|          |      8  |      0.9653  |     0.9658  |   0.9167  |               |              3.2247  |
|          |      9  |      0.9336  |     0.9805  |   0.9338  |               |              3.5440  |
|          |   eval  |      0.9336  |     0.9805  |   0.9338  |       0.9383  |              3.6931  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4248  |     0.7197  |   0.6620  |               |              0.3852  |
|          |      1  |      1.2715  |     0.8154  |   0.6943  |               |              0.7635  |
|          |      2  |      1.2090  |     0.8369  |   0.7682  |               |              1.1411  |
|          |      3  |      1.1396  |     0.8721  |   0.8097  |               |              1.4888  |
|          |      4  |      1.1289  |     0.8701  |   0.8685  |               |              1.8357  |
|          |      5  |      1.1025  |     0.8887  |   0.8623  |               |              2.1832  |
|          |      6  |      1.0498  |     0.9092  |   0.8861  |               |              2.5303  |
|          |      7  |      1.0254  |     0.9277  |   0.9045  |               |              2.8777  |
|          |      8  |      0.9829  |     0.9551  |   0.9210  |               |              3.2246  |
|          |      9  |      0.9390  |     0.9805  |   0.9325  |               |              3.5438  |
|          |   eval  |      0.9390  |     0.9805  |   0.9325  |       0.9417  |              3.6930  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4482  |     0.6787  |   0.6829  |               |              0.3852  |
|          |      1  |      1.2676  |     0.8027  |   0.6741  |               |              0.7636  |
|          |      2  |      1.2061  |     0.8330  |   0.8053  |               |              1.1411  |
|          |      3  |      1.1650  |     0.8564  |   0.7736  |               |              1.4888  |
|          |      4  |      1.1309  |     0.8711  |   0.8582  |               |              1.8360  |
|          |      5  |      1.0996  |     0.8896  |   0.8601  |               |              2.1834  |
|          |      6  |      1.0479  |     0.9170  |   0.8936  |               |              2.5304  |
|          |      7  |      1.0186  |     0.9375  |   0.8959  |               |              2.8777  |
|          |      8  |      0.9751  |     0.9590  |   0.9158  |               |              3.2248  |
|          |      9  |      0.9326  |     0.9814  |   0.9337  |               |              3.5441  |
|          |   eval  |      0.9326  |     0.9814  |   0.9337  |       0.9402  |              3.6933  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.3926  |     0.7305  |   0.6538  |               |              0.3852  |
|          |      1  |      1.2607  |     0.7959  |   0.7462  |               |              0.7635  |
|          |      2  |      1.1963  |     0.8496  |   0.7910  |               |              1.1411  |
|          |      3  |      1.1670  |     0.8447  |   0.7800  |               |              1.4888  |
|          |      4  |      1.1348  |     0.8643  |   0.8118  |               |              1.8359  |
|          |      5  |      1.1123  |     0.8848  |   0.8646  |               |              2.1835  |
|          |      6  |      1.0615  |     0.9043  |   0.8933  |               |              2.5306  |
|          |      7  |      1.0059  |     0.9443  |   0.9046  |               |              2.8781  |
|          |      8  |      0.9741  |     0.9639  |   0.9175  |               |              3.2251  |
|          |      9  |      0.9414  |     0.9775  |   0.9318  |               |              3.5443  |
|          |   eval  |      0.9414  |     0.9775  |   0.9318  |       0.9400  |              3.6934  |
------------------------------------------------------------------------------------------------------
Mean: 0.9400    Std: 0.0010
/workspace/ese-3060-project/logs/86af4cfb-565a-4aa5-96b9-011ae1d87ea7/log.pt
