------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|      16  |      0  |      1.3965  |     0.7373  |   0.7013  |               |              0.3858  |
|          |      1  |      1.2256  |     0.8232  |   0.7223  |               |              0.7643  |
|          |      2  |      1.2139  |     0.8301  |   0.8140  |               |              1.1423  |
|          |      3  |      1.1426  |     0.8662  |   0.8349  |               |              1.4900  |
|          |      4  |      1.1074  |     0.8955  |   0.8547  |               |              1.8368  |
|          |      5  |      1.0889  |     0.8994  |   0.8683  |               |              2.1840  |
|          |      6  |      1.0371  |     0.9287  |   0.8909  |               |              2.5308  |
|          |      7  |      1.0225  |     0.9258  |   0.9093  |               |              2.8781  |
|          |      8  |      0.9663  |     0.9590  |   0.9208  |               |              3.2248  |
|          |      9  |      0.9331  |     0.9834  |   0.9323  |               |              3.5437  |
|          |   eval  |      0.9331  |     0.9834  |   0.9323  |       0.9430  |              3.6931  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4551  |     0.6875  |   0.6513  |               |              0.3854  |
|          |      1  |      1.3408  |     0.7715  |   0.6456  |               |              0.7639  |
|          |      2  |      1.2041  |     0.8379  |   0.7264  |               |              1.1414  |
|          |      3  |      1.1465  |     0.8613  |   0.7466  |               |              1.4887  |
|          |      4  |      1.1504  |     0.8652  |   0.8357  |               |              1.8356  |
|          |      5  |      1.0967  |     0.8857  |   0.8648  |               |              2.1829  |
|          |      6  |      1.0479  |     0.9248  |   0.8927  |               |              2.5296  |
|          |      7  |      1.0479  |     0.9199  |   0.9006  |               |              2.8767  |
|          |      8  |      0.9775  |     0.9580  |   0.9199  |               |              3.2235  |
|          |      9  |      0.9424  |     0.9785  |   0.9332  |               |              3.5425  |
|          |   eval  |      0.9424  |     0.9785  |   0.9332  |       0.9402  |              3.6919  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4287  |     0.6963  |   0.6609  |               |              0.3854  |
|          |      1  |      1.2539  |     0.8164  |   0.7761  |               |              0.7637  |
|          |      2  |      1.2070  |     0.8398  |   0.8113  |               |              1.1414  |
|          |      3  |      1.1582  |     0.8721  |   0.8177  |               |              1.4890  |
|          |      4  |      1.1553  |     0.8545  |   0.8462  |               |              1.8357  |
|          |      5  |      1.0928  |     0.8799  |   0.8299  |               |              2.1829  |
|          |      6  |      1.0459  |     0.9229  |   0.8840  |               |              2.5299  |
|          |      7  |      1.0156  |     0.9336  |   0.8930  |               |              2.8771  |
|          |      8  |      0.9712  |     0.9619  |   0.9233  |               |              3.2239  |
|          |      9  |      0.9409  |     0.9785  |   0.9329  |               |              3.5429  |
|          |   eval  |      0.9409  |     0.9785  |   0.9329  |       0.9419  |              3.6923  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4258  |     0.7256  |   0.6950  |               |              0.3855  |
|          |      1  |      1.2998  |     0.7881  |   0.6835  |               |              0.7639  |
|          |      2  |      1.2500  |     0.8115  |   0.7240  |               |              1.1415  |
|          |      3  |      1.1494  |     0.8662  |   0.7947  |               |              1.4887  |
|          |      4  |      1.1436  |     0.8672  |   0.8150  |               |              1.8356  |
|          |      5  |      1.0830  |     0.9043  |   0.8758  |               |              2.1830  |
|          |      6  |      1.0215  |     0.9336  |   0.8829  |               |              2.5297  |
|          |      7  |      1.0068  |     0.9473  |   0.9028  |               |              2.8768  |
|          |      8  |      0.9814  |     0.9561  |   0.9202  |               |              3.2237  |
|          |      9  |      0.9443  |     0.9766  |   0.9313  |               |              3.5429  |
|          |   eval  |      0.9443  |     0.9766  |   0.9313  |       0.9381  |              3.6923  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4570  |     0.6836  |   0.6109  |               |              0.3855  |
|          |      1  |      1.2490  |     0.8145  |   0.7528  |               |              0.7639  |
|          |      2  |      1.2021  |     0.8281  |   0.8052  |               |              1.1417  |
|          |      3  |      1.1475  |     0.8721  |   0.7885  |               |              1.4893  |
|          |      4  |      1.1436  |     0.8662  |   0.8570  |               |              1.8363  |
|          |      5  |      1.0986  |     0.8887  |   0.8650  |               |              2.1834  |
|          |      6  |      1.0195  |     0.9355  |   0.8975  |               |              2.5305  |
|          |      7  |      1.0186  |     0.9424  |   0.8867  |               |              2.8779  |
|          |      8  |      0.9678  |     0.9648  |   0.9194  |               |              3.2247  |
|          |      9  |      0.9448  |     0.9766  |   0.9326  |               |              3.5437  |
|          |   eval  |      0.9448  |     0.9766  |   0.9326  |       0.9418  |              3.6931  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4023  |     0.7227  |   0.5812  |               |              0.3855  |
|          |      1  |      1.2637  |     0.8018  |   0.6992  |               |              0.7639  |
|          |      2  |      1.1875  |     0.8477  |   0.7795  |               |              1.1415  |
|          |      3  |      1.1426  |     0.8604  |   0.8058  |               |              1.4889  |
|          |      4  |      1.1064  |     0.8857  |   0.8629  |               |              1.8359  |
|          |      5  |      1.0850  |     0.9033  |   0.8731  |               |              2.1831  |
|          |      6  |      1.0684  |     0.8975  |   0.8972  |               |              2.5298  |
|          |      7  |      1.0137  |     0.9395  |   0.9058  |               |              2.8770  |
|          |      8  |      0.9712  |     0.9629  |   0.9219  |               |              3.2239  |
|          |      9  |      0.9399  |     0.9795  |   0.9341  |               |              3.5429  |
|          |   eval  |      0.9399  |     0.9795  |   0.9341  |       0.9414  |              3.6923  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4180  |     0.7031  |   0.6859  |               |              0.3857  |
|          |      1  |      1.2373  |     0.8252  |   0.7376  |               |              0.7640  |
|          |      2  |      1.2002  |     0.8389  |   0.8040  |               |              1.1417  |
|          |      3  |      1.1514  |     0.8633  |   0.8260  |               |              1.4892  |
|          |      4  |      1.1357  |     0.8633  |   0.8624  |               |              1.8360  |
|          |      5  |      1.0859  |     0.8994  |   0.8585  |               |              2.1831  |
|          |      6  |      1.0518  |     0.9160  |   0.8938  |               |              2.5301  |
|          |      7  |      1.0264  |     0.9297  |   0.8918  |               |              2.8774  |
|          |      8  |      0.9580  |     0.9668  |   0.9216  |               |              3.2242  |
|          |      9  |      0.9390  |     0.9756  |   0.9332  |               |              3.5431  |
|          |   eval  |      0.9390  |     0.9756  |   0.9332  |       0.9405  |              3.6925  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4404  |     0.6943  |   0.6966  |               |              0.3853  |
|          |      1  |      1.2676  |     0.7910  |   0.6556  |               |              0.7643  |
|          |      2  |      1.1836  |     0.8447  |   0.7434  |               |              1.1420  |
|          |      3  |      1.1406  |     0.8711  |   0.8150  |               |              1.4894  |
|          |      4  |      1.1084  |     0.8936  |   0.8348  |               |              1.8363  |
|          |      5  |      1.0957  |     0.8906  |   0.8563  |               |              2.1836  |
|          |      6  |      1.0479  |     0.9209  |   0.8987  |               |              2.5303  |
|          |      7  |      1.0283  |     0.9316  |   0.9003  |               |              2.8774  |
|          |      8  |      0.9756  |     0.9580  |   0.9206  |               |              3.2242  |
|          |      9  |      0.9404  |     0.9775  |   0.9310  |               |              3.5433  |
|          |   eval  |      0.9404  |     0.9775  |   0.9310  |       0.9396  |              3.6927  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4307  |     0.7051  |   0.6925  |               |              0.3856  |
|          |      1  |      1.2578  |     0.7959  |   0.7255  |               |              0.7639  |
|          |      2  |      1.2051  |     0.8252  |   0.7900  |               |              1.1417  |
|          |      3  |      1.1689  |     0.8525  |   0.8172  |               |              1.4892  |
|          |      4  |      1.1357  |     0.8643  |   0.8617  |               |              1.8361  |
|          |      5  |      1.0938  |     0.8877  |   0.8482  |               |              2.1835  |
|          |      6  |      1.0342  |     0.9297  |   0.8917  |               |              2.5305  |
|          |      7  |      1.0400  |     0.9150  |   0.8804  |               |              2.8780  |
|          |      8  |      0.9648  |     0.9658  |   0.9242  |               |              3.2247  |
|          |      9  |      0.9409  |     0.9746  |   0.9322  |               |              3.5437  |
|          |   eval  |      0.9409  |     0.9746  |   0.9322  |       0.9388  |              3.6931  |
------------------------------------------------------------------------------------------------------
Mean: 0.9405    Std: 0.0013
/workspace/ese-3060-project/logs/e84b19b3-8b39-4fdc-bd41-c66987cb694c/log.pt
