------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4297  |     0.6953  |   0.7057  |               |              0.3865  |
|          |      1  |      1.2441  |     0.8203  |   0.7431  |               |              0.7662  |
|          |      2  |      1.1904  |     0.8369  |   0.7546  |               |              1.1451  |
|          |      3  |      1.1436  |     0.8721  |   0.8295  |               |              1.4935  |
|          |      4  |      1.1445  |     0.8652  |   0.8140  |               |              1.8416  |
|          |      5  |      1.1006  |     0.8857  |   0.8623  |               |              2.1900  |
|          |      6  |      1.0449  |     0.9150  |   0.8832  |               |              2.5379  |
|          |      7  |      1.0156  |     0.9277  |   0.9008  |               |              2.8862  |
|          |      8  |      0.9717  |     0.9668  |   0.9246  |               |              3.2343  |
|          |      9  |      0.9351  |     0.9824  |   0.9318  |               |              3.5544  |
|          |   eval  |      0.9351  |     0.9824  |   0.9318  |       0.9406  |              3.7041  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4072  |     0.7432  |   0.7063  |               |              0.3865  |
|          |      1  |      1.2695  |     0.7910  |   0.7674  |               |              0.7661  |
|          |      2  |      1.1992  |     0.8477  |   0.7826  |               |              1.1452  |
|          |      3  |      1.1641  |     0.8438  |   0.8419  |               |              1.4939  |
|          |      4  |      1.1260  |     0.8740  |   0.8283  |               |              1.8418  |
|          |      5  |      1.0752  |     0.8965  |   0.8500  |               |              2.1900  |
|          |      6  |      1.0479  |     0.9180  |   0.8815  |               |              2.5381  |
|          |      7  |      1.0215  |     0.9346  |   0.9007  |               |              2.8864  |
|          |      8  |      0.9658  |     0.9678  |   0.9244  |               |              3.2343  |
|          |      9  |      0.9434  |     0.9805  |   0.9329  |               |              3.5544  |
|          |   eval  |      0.9434  |     0.9805  |   0.9329  |       0.9402  |              3.7042  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4082  |     0.7100  |   0.6844  |               |              0.3867  |
|          |      1  |      1.2793  |     0.7959  |   0.7345  |               |              0.7665  |
|          |      2  |      1.2051  |     0.8408  |   0.8072  |               |              1.1454  |
|          |      3  |      1.1484  |     0.8672  |   0.8411  |               |              1.4938  |
|          |      4  |      1.1348  |     0.8613  |   0.8664  |               |              1.8419  |
|          |      5  |      1.0811  |     0.9053  |   0.8775  |               |              2.1903  |
|          |      6  |      1.0537  |     0.9160  |   0.8951  |               |              2.5382  |
|          |      7  |      1.0273  |     0.9258  |   0.9002  |               |              2.8865  |
|          |      8  |      0.9648  |     0.9678  |   0.9207  |               |              3.2345  |
|          |      9  |      0.9473  |     0.9766  |   0.9328  |               |              3.5548  |
|          |   eval  |      0.9473  |     0.9766  |   0.9328  |       0.9415  |              3.7045  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4678  |     0.6816  |   0.6643  |               |              0.3866  |
|          |      1  |      1.2480  |     0.8164  |   0.7392  |               |              0.7662  |
|          |      2  |      1.1914  |     0.8506  |   0.7274  |               |              1.1453  |
|          |      3  |      1.2031  |     0.8291  |   0.8013  |               |              1.4940  |
|          |      4  |      1.1465  |     0.8721  |   0.8328  |               |              1.8420  |
|          |      5  |      1.0713  |     0.9053  |   0.8485  |               |              2.1903  |
|          |      6  |      1.0400  |     0.9287  |   0.8959  |               |              2.5383  |
|          |      7  |      1.0273  |     0.9287  |   0.9043  |               |              2.8867  |
|          |      8  |      0.9595  |     0.9668  |   0.9232  |               |              3.2345  |
|          |      9  |      0.9360  |     0.9805  |   0.9326  |               |              3.5546  |
|          |   eval  |      0.9360  |     0.9805  |   0.9326  |       0.9403  |              3.7043  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4375  |     0.6914  |   0.6191  |               |              0.3866  |
|          |      1  |      1.2637  |     0.8008  |   0.7134  |               |              0.7663  |
|          |      2  |      1.1797  |     0.8604  |   0.7982  |               |              1.1453  |
|          |      3  |      1.1582  |     0.8545  |   0.7482  |               |              1.4938  |
|          |      4  |      1.1367  |     0.8643  |   0.8375  |               |              1.8418  |
|          |      5  |      1.0889  |     0.9102  |   0.8795  |               |              2.1902  |
|          |      6  |      1.0371  |     0.9248  |   0.8941  |               |              2.5381  |
|          |      7  |      1.0127  |     0.9287  |   0.9042  |               |              2.8864  |
|          |      8  |      0.9927  |     0.9492  |   0.9223  |               |              3.2345  |
|          |      9  |      0.9443  |     0.9736  |   0.9360  |               |              3.5547  |
|          |   eval  |      0.9443  |     0.9736  |   0.9360  |       0.9410  |              3.7045  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4209  |     0.7139  |   0.6660  |               |              0.3866  |
|          |      1  |      1.2363  |     0.8389  |   0.7726  |               |              0.7662  |
|          |      2  |      1.2021  |     0.8418  |   0.8149  |               |              1.1452  |
|          |      3  |      1.2031  |     0.8311  |   0.8082  |               |              1.4939  |
|          |      4  |      1.1230  |     0.8809  |   0.8436  |               |              1.8418  |
|          |      5  |      1.0898  |     0.9053  |   0.8441  |               |              2.1901  |
|          |      6  |      1.0361  |     0.9160  |   0.8932  |               |              2.5382  |
|          |      7  |      1.0010  |     0.9463  |   0.9090  |               |              2.8866  |
|          |      8  |      0.9766  |     0.9531  |   0.9254  |               |              3.2344  |
|          |      9  |      0.9395  |     0.9766  |   0.9340  |               |              3.5545  |
|          |   eval  |      0.9395  |     0.9766  |   0.9340  |       0.9411  |              3.7042  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4336  |     0.7021  |   0.7316  |               |              0.3867  |
|          |      1  |      1.2695  |     0.7979  |   0.6700  |               |              0.7665  |
|          |      2  |      1.2246  |     0.8145  |   0.7707  |               |              1.1453  |
|          |      3  |      1.1484  |     0.8604  |   0.8282  |               |              1.4940  |
